0, 8
1, 11
2, 14
3, 22
4, 33
5, 43
6, 73
7, 123
8, 152
9, 213
10, 375
11, 585
12, 827
13, 1228
14, 1934
15, 2978
16, 4300
17, 6729
18, 10313
19, 15137
20, 23314
21, 35704
22, 54440
23, 81510
24, 123064
25, 190865
26, 287030
27, 433540
28, 664342
29, 1004071
30, 1527624
